id	title	shortDescription	cpvs	AwCritLacksIndicator	AwCritMethodMissingIndicator	AwCritPaymentDeadlineCondIndicator	ContrDescCartellingIndicator	CountOfInvOpsNoCondIndicator	DeadlineIsTightIndicator	DurationLongOrIndefiniteIndicator	FinAbEquityCondIndicator	FinAbMissingMinCondIndicator	FinAbRevenueCondExceedEstimValIndicator	FinAbRevenueCondManyYearsIndicator	FwAgFewParticipantsIndicator	FwAgHighEstimatedValueIndicator	FwAgLongDurationIndicator	FwAgOneParticipantIndicator	HighEstimatedValueIndicator	OfferGuaranteeIsHighIndicator	OpeningDateDiffersFromDeadlineIndicator	PersSitMissingCondIndicator	ProcTypeAcceleratedIndicator	ProcTypeNegotiatedNoJustificationIndicator	RenewalOfContractIndicator	TechCapEURefCondIndicator	TechCapExpertsExpCondManyYearsIndicator	TechCapGeoCondIndicator	TechCapMissingMinCondIndicator	TechCapRefCondExceedEstimValIndicator	TechCapRefCondManyYearsIndicator	TechCapSingleContractRefCondIndicator
115738-2017	ABV felderítő és azonosító műszer – HAPSITE ER hordozható vegyi azonosító műszer beszerzése.	Adásvételi szerződés / ABV felderítő és azonosító műszer – HAPSITE ER hordozható vegyi azonosító műszer beszerzése.	38430000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
115783-2017	Élelmiszerek beszerzése.	Különböző kategóriájú és típusú élelmiszer alapanyagok beszerzése.	15000000|15100000|15130000|15131500|15220000|15300000|15330000|15331100|15500000|15610000|15810000|15820000|15830000|15850000|15870000|15890000|15900000|15980000|15981000|15982000|3142500	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
115784-2017	Mátrai Gyógyintézet- fűtőolaj beszerzése- 2017.	Mátrai Gyógyintézet- fűtőolaj beszerzése- 2017.	9135100	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
115804-2017	Úttisztító és hulladékgyűjtő célgépek beszerzése. Hivatkozási szám: K1635-2	A 6/1990.(IV.12.) KöHÉM rendeletben a járművekre vonatkozó műszaki előírásoknak megfelelő, legalább Euro 6-os kategóriába sorolt diesel motorral szerelt úttisztító és hulladékgyűjtő célgépek szállítása figyelmeztető jelzéssel, forgalmi rendszámmal az: I. rész: 2 db kéttengelyes téli csere felépítménnyel is ellátott önfelszedő célgép; II. rész: 2 db keskenynyomtávú összkerék meghajtású kisteljesítményű, préselve tömörítő hulladékgyűjtő célgép.	34140000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
115822-2017	2017. évi oltóanyagok beszerzése adásvételi szerződés keretében. Hivatkozási szám: KKF -3231./2017	2017. évi oltóanyagok beszerzése adásvételi szerződés keretében.	33651600|33651660|33651670|33651680	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
115823-2017	Meglévő szerverek cseréje és bővítése.	Meglévő szerverek cseréje és bővítése: 1. rész – ÜVP (Üzemeltetői Virtualizált Platform) rendszer bővítése; 2. rész – Elöregedett HVR naplógyűjtő szerverek kiváltása; 3. rész – Elöregedett Hyper-V szerverek kiváltása; 4. rész – Meglévő blade szerverek memória bővítése.	48810000|48820000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
115839-2017	„Hirdet. közzét.induló gyorsított tárgy.keretmegállap.eljárás lefolyt.hematológiai betegek kezelésére szolg., tételes elszámolás alá eső bortezomib hatóanyag 31.10.2018-ig terj. aktív időszakra”. Hivatkozási szám: F042/71/2016.	A közbeszerzésekről szóló 2015. évi CXLIII. törvény 105. § (1) bekezdés a) pontja szerinti keretmegállapodás megkötésére irányuló, gyorsított tárgyalásos közbeszerzési eljárás új, tételes elszámolású hatóanyagot tartalmazó, természetben biztosítandó egyes gyógyszerek beszerzésére, a 31.10.2018-ig terjedő aktív időszakra.	33690000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
115841-2017	Gépjármű beszerzés. Hivatkozási szám: KBE/005/2017	Gépjármű beszerzés.	34100000|50112000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
116122-2020	1 db CT készülék karbant. és szervizelése 24 hónap Hivatkozási szám: EKR000584502019	1 db Philips Brilliance 64 CT készülék karbantartása és szervizelése vállalkozási szerződés keretében 24 hónapra	50421000|50421200	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11619-2018	Direkt- és folyadékhűtők és hőszivattyúk karbantartása és eseti hibajavítása a Pécsi Tudományegyetem részére Hivatkozási szám: PTE/165/2017	1. rész: Direkt- és folyadékhűtők és hőszivattyúk karbantartása és eseti hibajavítása a PTE Szentágothai Kutatóközpont telephelyén 111 150 000 Huf keretösszeg erejéig 2. rész: Direkt- és folyadékhűtők és hőszivattyúk karbantartása és eseti hibajavítása a PTE KPVK Szekszárdi telephelyén 6 840 000 HUF keretösszeg erejéig	50000000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
116273-2016	Különböző betontípusok beszerzése adásvételi keretmegállapodás formájában.	Adásvételi keretmegállapodás különböző betontípusok beszerzése tárgyában.	44114000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
116274-2016	Tolólapos kompaktor beszerzése.	Tolólapos kompaktor beszerzése adásvételi szerződés keretében.	43250000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
116309-2016	A Fővárosi Törvényszék 2 épületének takarítási munkái.	Vállalkozási szerződés a Fővárosi Törvényszék Gazdasági Kollégium épületének, valamint a Tölgyfa utcai „Margit-ház” épületének belső rendszeres és éves nagytakarítási munkáinak elvégzésére a közbeszerzési dokumentációban részletezett specifikáció alapján, 36 hónap időtartamban, 2 részajánlatra bontva: 1. rész: Fővárosi Törvényszék Tölgyfa utcai „Margit-ház” épülete (1027 Budapest, Tölgyfa u. 1–3.); 2. rész: Fővárosi Törvényszék Gazdasági Kollégium épülete (1027 Budapest, Varsányi Irén u. 38–40.).	90620000|90911200|90911300|90914000|90919100|90919200	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1164-2020	Sebészeti varrógépek beszerzése Hivatkozási szám: EKR000976752019	Sebészeti varrógépek beszerzése 8 részben 1. rész: körvarrógépek 160 db 2. rész: egyenes haránt varrógépek és hozzá tartozó tárak (varrógépek: 534 db, tárak: 245 db) 3. rész: felszívódó varrógéptár 30 db 4. rész: Véredényforrasztó kézi eszközök 204 db 5. rész: egyenes vágó varrógép és hozzá tartozó tár 30-30 db 6. rész: Endoszkópos vágó-varrógépek és hozzá tartozó tárak (varrógép: 100 db, tárak: 304 db) 7. rész: Hajlított fejű haránt vágó-varrógép 5 db 8. rész: Varrógép tár titán kapcsokkal 80 db Ajánlatkérő a konkrét betegigény figyelembe vételével jogosult a szerződésben rögzített termékek teljes /értékétől/ mennyiségétől +20 %-ban eltérni a szerződés hatálya alatt. A folyamatos ellátás biztosítása érdekében a nyertes AT feladata egy konszignációs raktár létrehozása, a szerződésben részletezett feltételek szerint.	33168000|33169000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
116434-2015	Vállalkozási szerződés a 2007-2013-as programozási időszak végrehajtási szempontú elemzési feladatainak ellátása tárgyában.	Vállalkozási szerződés a 2007-2013-as programozási időszak végrehajtási szempontú elemzési feladatainak ellátása tárgyában.	79000000|79419000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
116497-2013	Krónikus aktív hepatitis C kezelésére szolgáló készítmények beszerzése.	Szállítási szerződés krónikus aktív hepatitis C kezelésére szolgáló készítmények beszerzésére.	33651600	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1165-2020	Élelmezési alapanyagok beszerzése Hivatkozási szám: EKR001629482019	Adásvételi szerződés keretében élelmiszer-alapanyagbeszerzése a Kalocsai Közétkeztetési Intézmény részére a részletezett műszaki leírás szerint (árazatlan terméklista).	15100000|15110000|15321000|15500000|15800000|15810000|15870000|15890000|15896000|15897200	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11654-2021	Duna-Buda kiviteli tervek elkészítése Hivatkozási szám: EKR001400272020	Duna-Buda Budai belvárosi Duna-part megújítására vonatkozó kiviteli tervek elkészítése A VI.3) További információk pont folytatása: 21.) Ajánlatkérő felhívja a figyelmet, hogy az M/2.1-2.2. alkalmassági követelményre bemutatott szakembereknek szerződéskötésig rendelkezniük kell az alkalmassági követelményben szereplő, érvényes jogosultsággal és ezt a teljesítés során végig fenn kell tartani. Ajánlatkérő előírja, hogy ajánlattevő a fenti körülményről ajánlatában nyilatkozzon. 22.) Ajánlatkérő tájékoztatja ajánlattevőket, hogy tárgyi közbeszerzési eljárás fedezetének biztosítása érdekében AK tulajdonosa támogatási igényt kíván benyújtani MAGYARORSZÁG Kormánya részére. A támogatás odaítéléséről szóló Kormányhatározat, illetve az az alapján kibocsátott támogatói okirat elmaradását, illetve az igényeltnél kisebb összegű támogatás megítélését az ajánlatkérő a Kbt. 53. § (5) bekezdése alapján olyan ellenőrzési körén kívül eső, bizonytalan jövőbeli eseménynek tekinti, amelyre tekintettel a szerződésmegkötésére vagy teljesítésre képtelenné válása okaként hivatkozhat, azaz fenti esetekben ajánlatkérő a közbeszerzési eljárást a Kbt. 75. § (2) bekezdés a) pontja alapján eredménytelenné nyilváníthatja. Továbbá erre tekintettel a vállalkozási szerződés tervezete speciális hatályba léptető rendelkezést tartalmaz a Kbt. 135. § (12) bekezdése alapján. 23.) A közbeszerzési dokumentumokban nem szabályozott kérdések vonatkozásában a Kbt. és végrehajtási rendeleteinek előírásai szerint kell eljárni. III.2.2) A szerződés teljesítésével kapcsolatos feltételek pont folytatása: A szerződést biztosító mellékkötelezettségek: Késedelmi kötbér, meghiúsulási kötbér, és hibás teljesítési kötbér a szerződéstervezetben foglaltak szerint. Késedelmi kötbér: A felhívásban, a közbeszerzési dokumentumokban és a szerződéstervezetben meghatározott teljesítési rész- és/vagy véghatáridők késedelmes teljesítése esetén nyertes ajánlattevő a késedelem időtartamának minden egyes naptári napjára a késedelemmel érintett rész/végszámla nettó díj 1,00 %-ának (egy százalékának) megfelelő összegű késedelmi kötbér fizetésére köteles. A késedelmi kötbér összege nem haladhatja meg az adott rész/végszámla nettó tervezői díjának 20 %-át. Meghiúsulási kötbér: Amennyiben a szerződés olyan okból szűnik meg, amelyért a nyertes ajánlattevő felelős, úgy nyertes ajánlattevő a teljes nettó ellenszolgáltatás díja 30 %-ának (harminc százalékának) megfelelő összegű meghiúsulási kötbér fizetésére köteles Ajánlatkérő részére. Hibás teljesítési kötbér: Hibás teljesítés esetén Ajánlatkérő hibás teljesítési kötbérre jogosult, melynek alapja a hibás teljesítéssel érintett nettó rész/végszámla összege, mértéke annak 15 %-a. Jótállás: Nyertes ajánlattevőt 60 hónap időtartamra jótállási kötelezettség terheli közbeszerzési eljárás eredményeként megkötendő szerződésben foglalt kötelezettségeinek szerződésszerű teljesítéséért, továbbá az alkalmazott megoldások, eljárások alkalmasságáért és minőségéért. A jótállás kezdete: az elfogadott kivitelezési tervdokumentációhoz kapcsolódó teljesítésigazolás időpontja. Az előírt biztosítékok és szerződést biztosító mellékkötelezettségekre vonatkozó részletes feltételeket a szerződéstervezet tartalmazza.	71245000|71320000|71400000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11661-2014	Vállalkozási szerződés a Budapest VII. kerület, István u. 23-25.sz. alatti irodaház takarítási és üzemeltetési feladatainak ellátására.	Budapest VII. kerület, István u. 23-25.sz. alatti irodaépület takarítási és üzemeltetési feladatainak ellátása a dokumentációban részletezettek szerint.	50531100|90911200	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11664-2014	2 x 1 000 000 000 HUF értékben folyószámlahitel.	2 x 1 000 000 000 HUF értékben folyószámlahitel biztosítása hitelszerződések formájában, részajánlatonként 1 000 000 000 HUF értékben.	66113000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
116703-2013	Üzemanyag monitoring rendszer működtetése és adatszolgáltatás a 2002. február 8-i 2002/159/EK bizottsági határozat szerint.	Motorhajtóanyagok (motorbenzin, dízelgázolaj) minőségének a 2003/17/EK irányelv, illetve a 2009/30/EK és a 2011/63/EU irányelvekkel módosított 98/70/EK irányelv szerinti, valamint tüzelő- és fűtőolajok kéntartalmának a 2012/33/EU irányelvvel módosított 1999/32/EK irányelv szerinti időszakos mintavételezése, elemzése és az ezzel összefüggő adatszolgáltatás (negyedéves és éves jelentések készítése magyar nyelven, éves jelentés angol nyelvű összeállítása a 2002.2.8-i 2002/159/EK bizottsági határozat rendelkezéseinek megfelelően) és az angol nyelvű éves jelentés EU részére történő továbbítása.	71610000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
116766-2017	A Miskolci Semmelweis Kórház és Egyetemi Oktatókórház részére orvos közreműködők beszerzése 24 szakterületen.	A Miskolci Semmelweis Kórház és Egyetemi Oktatókórház részére orvos közreműködők beszerzése 24 szakterületen.	85100000|85120000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1168-2020	PTCA ballonkatéterek és kompressziós eszközök Hivatkozási szám: EKR001437212019	Adásvételi keretszerződés keretében PTCA ballonkatéterek, radiális és femorális eszközök beszerzése a Városmajori Szív- és Érgyógyászati Klinika részére. A szerződések a keretmennyiség kimerüléséig, de legfeljebb 36 hónap időtartamra jönnek létre. A beszerzés keretmennyisége a 19 rész tekintetében a 36 hónap időtartamra vonatkozóan: 50 580 db.	33111710|33141210	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
116813-2018	Mátrai Gyógyintézet- EFOP-2.2.18-17 - Betegbiztonság növelését célzó higiéniás rendszerek eszköz- és infrastrukturális fejlesztése- árubeszerzés- 2018.	Mátrai Gyógyintézet- EFOP-2.2.18-17- árubeszerzés- 2018.	33100000|33168000|33191000|33741300	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
116814-2018	3D bioreaktor beszerzése a Pécsi Tudományegyetem GINOP-2.3.2-15-2016-00022 jelű pályázata keretein belül Hivatkozási szám: 42/2018	2 darab 3D bioreaktor beszerzése a Pécsi Tudományegyetem GINOP-2.3.2-15-2016-00022 jelű pályázata keretein belül adásvételi szerződés feltételei alapján a közbeszerzési dokumentáció részeként kiadott műszaki leírásban megadott paraméterek alapján. Garancia 1 év, felhasználói szintű oktatás legalább 4 óra, maximum 4 fő. Az Eszközök átadás-átvétele során a Vevő próbával győződik meg arról, hogy azok a rendetetésszerű használatra alkalmasak, rendelkeznek a Szerződésben és annak elválaszthatatlan részét képező dokumentációban – így különösen a Műszaki Leírásban –, valamint a jogszabályokban előírt tulajdonságokkal. Ajánlatkérő próba alatt az eszköz kipróbálását érti.	38000000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
116815-2018	Neuronavigációs rendszer beszerzése a Pécsi Tudományegyetem GINOP-2.3.3-15-2016-00013 jelű projektje keretében - 2. Hivatkozási szám: 3/2018	Neuronavigációs rendszer beszerzése a Pécsi Tudományegyetem GINOP-2.3.3-15-2016-00013 jelű projektje keretében - 2. adásvételi szerződés alapján a közbeszerzési dokumentációban meghatározott paraméterekkel. A rendszer részei: Neuronavigáció, Intraoperatív képalkotás, Mikroszkóp integráció, Szoftver, Navigált sebészeti eszköztálcák. Teljesítéssel kapcsolatos további feladatok: a Rendszer teljesítési helyszínre történő eljuttatása, beállítás, üzembe helyezés és az üzembe helyezett Rendszer átadása. Felhasználói szintű oktatás: legalább 2x8 óra időtartam, maximum 10 fő. A teljesítés részeként az Eladó köteles - amennyiben szükséges -a Szoftver telepítését elvégezni. A fuvarozással kapcsolatos valamennyi adminisztrációs kötelezettséget teljesíti a NAV irányába, továbbá az útdíjköteles gépjárművekkel a Vevő részére végzett fuvarozással járó termékszállítási bejelentési kötelezettségeknek eleget tesz (EKÁER adminisztráció).	33100000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
116826-2018	„Egészséges Budapest Program keretében képalkotó diagnosztikai és sugárterápiai berendezések beszerzése a Dél-budai Centrum társkórházai részére - 4 részben”	Az Egészséges Budapest Program keretében képalkotó diagnosztikai és sugárterápiai berendezések beszerzése a Dél-budai Centrum társkórházai részére, az alábbiak szerint: — 1 db DSA beszerzése idegsebészeti, illetve stroke ellátás céljára a Szent János Kórház és Észak-budai Egyesített Kórházak részére, — 1 db Perifériás DSA beszerzése a Szent Imre Kórház részére, — 1 db MR készülék felnőtt és gyerek vizsgálatra beszerzése a Szent János Kórház és Észak-budai Egyesített Kórházak részére, — 1 db MR 1,5 T térerejű beszerzése a Szent Imre Kórház részére, — 1 db CT 256 szeletes beszerzése a Szent Imre Kórház részére, — 1 db CT készülék 128 szeletes beszerzése a Tüdőgyógyintézet Törökbálint részére, — 1 db Digitális RTG készülék beszerzése a Szent János Kórház és Észak-budai Egyesített Kórházak részére. A részletes leírást a közbeszerzési dokumentumok tartalmazzák.	33110000|33111000|33111721|33111800|33113000|33115100	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
116830-2018	„Egészséges Budapest Program keretében képalkotó diagnosztikai és sugárterápiai berendezések beszerzése az Észak-pesti Centrum társkórházai részére - 3 részben”	Az Egészséges Budapest Program keretében képalkotó diagnosztikai és sugárterápiai berendezések beszerzése az Észak-pesti Centrum társkórházai részére, az alábbiak szerint: — 1 db MR berendezés beszerzése a Szent Margit Kórház részére, — 1 db többfotonos lineáris gyorsító beszerzése az Uzsoki Utcai Kórház részére, — 1 db direkt digitális mammográf beszerzése a Nyírő Gyula Kórház - Országos Pszichiátriai és Addiktológiai Intézet részére, — 1 db digitális átvilágító és felvételi röntgen beszerzése a Szent Kozma és Damján Rehabilitációs Szakkórház részére, — 1 db digitális felvételi röntgen beszerzése mennyezeti csőtartóval, Bucky állvánnyal a Károlyi Sándor Kórház részére. A részletes leírást a közbeszerzési dokumentumok tartalmazzák.	31643100|33110000|33111000|33111400|33111650|33113000	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
116870-2018	„Egészséges Budapest Program keretében képalkotó diagnosztikai berendezések beszerzése a Dél-pesti Centrum, illetve társkórházai részére – 4 részben”	Az Egészséges Budapest Program keretében képalkotó diagnosztikai berendezések beszerzése a Dél-pesti Centrum, illetve társkórházai részére, az alábbiak szerint: — 1 db DSA Combo perifériáskészülék beszerzése a Bajcsy-Zsilinszky Kórház részére, — 1 db DSA Kardiológiai angiográfiás és IVUS készülék beszerzése a Bajcsy-Zsilinszky Kórház részére, — 1 db CT 64 szeletes készülék és tartozékai beszerzése a Jahn Ferenc Dél-pesti Kórház és Rendelőintézet részére, — 1 db CT Kardiológiai beszerzése a Gottsegen György Országos Kardiológiai Intézet részére, — 1 db IMPAX kardiológiai PACS rendszer upgrade beszerzése a Gottsegen György Országos Kardiológiai Intézet részére, — 1 db Digitalis rtg gép beszerzése a Toldy Ferenc Kórház és Rendelőintézet részére, — 1 db Direkt digitális röntgen felvételi berendezés két munkahellyel beszerzése a Nagykőrösi Rehabilitációs Szakkórház és Rendelőintézet részére. A részletes leírást a közbeszerzési dokumentumok tartalmazzák.	33110000|33111000|33111721|33111800|33115100|48800000|48814000	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1169-2020	Digitális mammográfiás berendezések beszerzése Hivatkozási szám: EKR001514052019	Keretmegállapodás digitális mammográfiás berendezések beszerzésére.	33111650|45215143|50421000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
1170-2020	KR részére élelmiszer alapanyagok beszerzése Hivatkozási szám: EKR000587042019	Adásvételi keretszerződés élelmiszer alapanyagok beszerzésére 24 hónapra, 12 hónap meghosszabbítási lehetőséggel 15 részben. Ajánlatkérő által megadott fenti mennyiségek tájékoztató jellegűek (kb. egy éves időszakra vonatkozik), azok a megalapozott árajánlatadás céljából kerültek feltüntetésre. A szerződések hatálya 24 hónap, amelyek a 24 hónap letelte után további 12 hónappal meghosszabbítható az adott részre vonakozó teljes keretösszeg kimerítéséig. A részletes műszaki leírást, minőségi előírásokat a közbeszerzési dokumentáció tartalmazza. A keretösszegek felhasználására a tényleges megrendelések mértékében kerül sor. Ajánlattevő minden rész tekintetében 70 %-os lehívási kötelezettséget vállal.	15000000|15100000|15300000|15400000|15500000|15810000|15842000|15850000|15870000|15896000|15897200|15981000|15982000|3142500	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
11706-2021	Mosatási szolgáltatás megrendelése Hivatkozási szám: EKR000312592020	Közbeszerzés tárgya: Mosodai szolgáltatások (a továbbiakban Szolgáltatás) teljesítése. A szolgáltatás magában foglalja a teljesítési hely működése során keletkező szennyes textíliák szennyes moppok mosását, vasalását, szükség szerinti csomagolását, szállítását, valamint a megrendelő székhelyén található szennyes,- és tisztaruha raktár vállalkozó általi üzemeltetését. Higiénikus textília mosása: 144 616 kg/év — sík textília 64 %, — beteg textília 2 %, — névre szóló személyzeti textília 6 %, — ágybetét (matrac): 1 %, — ágynemű (paplan, párna, pléd): 27 %. Mop: 33 944 db/év A megadott mennyiségektől +30 %-os eltérés lehetséges.	98310000	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
